Recipient,Amount
0x75f5c543f13e6d8435eaea7368b65bfd2dae0a00,221926.31
0x6f2a092cbf391ee6eb445a45ebbc2ca0abf7f891,219731.79
0x5d096b6eb4626c33aeb50389287d4c11291f60d2,218381.55
0x9e913891094e7da023f8aca7eb3904743fc438e6,218293.44
0xaa49cd778e66ac8e9fdf846096b26c7437e8c8df,218033.49
0x66f7443443983d2792929d096966bff1c55e5a0a,216612.85
0xae6a3f5481dca543d6753a9a530482e5ade2d25d,216587.77
0x76430b6c9f6e4d4e7d159b0da49a48b3d2be401f,215961.22
0x9d8abc9d2bfe75b5953a38ea38478ff5e67d23a0,215005.43
0x84df36a707fb47521d8e95f3dcf1dfe7b5810f5b,214981.31
0xbaa6cf728fef75857300aefceee16d4b1feeb24a,213886.17
0x8b03ceac5222e5ed960b03d5be886bc15498b992,213285.83
0x1a23bbe5dedf2782599fadfd1ee6b3261a63cbab,212684.93
0xa9c06b4f853027468a49ef82cf798c12a113c31e,212530.43
0x96fce35cbbf8260a1e2b53ce449aeba7272e48a1,212302.64
0x44df8c3f34010aba9c72b5fc525f30e5aa145420,211878.95
0xc081f31e9c1f76dbe5b02ecb28bfe034e84254e5,211040.72
0xcf02db03bfb02f6e1871054e11095b0167c82569,210811.95
0x2956810baf5de65c0f3c6e2083593feee11e59fb,210675.08
0xc42be923122c0f871fc7e253b4450d039779c703,210661.77
0x754705675a233df941a1743ecda1a65cf3beab54,210619.5
0x84a199f015be12bc608a2263b7ad73f17d8e9672,210363.07
0xb2b3896e13fd74960f52941db7fea83b217a22e1,207191.11
0x349fc240648ae7c09179ad64addc546545686757,205653.51
0x1a2ff78c007fdecb13799ff2f8fe4e47ad5dbbaa,204962.87
0x22e6f1921cdb7787f27c5ab3429446685bbbd386,204686.7
0xf1e0a2c8e6c81bb1c8f6bc4fe869e825957b9743,203576.68
0x6a52160b105bad7fdfddcac9f58398005c921700,201783.0
0x5e8c2cbede7c6584d0b19954d071b8ab61be7f00,200990.78
0x357137d5f9f6702e233a43710d2ddbe304dd955a,200841.86
0xc180010b6bddedbd6973fad5a17c9e1757467fa1,200214.59
0x8148bc6249234aa967e97c66ffd76b4c8a54c65a,200021.74
0x2ccc532213022e09e006a448d977de5bf04b60f0,199322.21
0x50b293213208b8cba50068021617f23c790ccb2c,198810.59
0x16a47546c044d4d58947f0f26787e32083903e9b,198661.11
0x01301bedea12a8d21d197753b8279b1ddb76285a,198483.98
0xe0d6308f6ce71a4c677f64c02857083c19e7c4db,198248.1
0xac44338e3221162d1dc5c523ff5d00fdba826891,197906.66
0xfa9fa8b368d26f4d86c81988085b33d4e7d8fd45,197903.26
0x1031ba06b3fb463afadff8298c68cb14ab694551,197549.26
0xf5a10acc16372a5d6c94c8fe14707319b718e138,197537.34
0x410487b7a1552a973d124388333ef947192a132f,197466.38
0x30be1a85a9eee114b481ffd4adabcd0b1233f2b6,196809.0
0xe52e1f559039f9ad3c79767330025cd2505deb99,196182.93
0x643bf89baa8d43a846fc859aa263c6ca0850f10b,195732.55
0x1e006e8aa0d7ae5b6abe4829e31843704c724bfb,195579.43
0xbda9f65a0a73c98e824063e188580f3417c5cbc5,194942.39
0x6fbff1a5369c8dda2e616ad9211753017c47633d,194490.54
0x8efbd8122edcf37396c9be9c85cd31fa292f49ba,194297.28
0x7fd24d4b779781ad36f97e9eddee492d75546e37,193294.26
0x2b4d1e9660960179f9fbd62092e29af03275a752,193032.25
0x762c3c4d158f4689dab7f5f1ed458cf1087f1052,192843.9
0x2b54a3d1331da1938803507c8048277c434e2947,192445.55
0xce7d98c34fe7d749008e12b468e089adf0542cb2,192351.41
0xb9f3803113f17858ba54d97ec9672eccf1e6f51f,191349.6
0x8534e8235c9fa1a5b0baaf1ca1e518ebdc4dabea,191168.54
0x29f190b89056a389908a56debd8033fc32a73d25,190973.78
0xfca841d21f35b6ce60d598e3d9caabec799edbdc,190775.67
0xacd24c9e33eca8ec6c6f9d519d5578373c101d18,190571.65
0xf4d4473d4a61d3de703410e3bcd0e4e0dd26423a,190505.4
0x840348ae90bfaa491a7dbd92181e64817ecacf6a,190085.65
0x4fcda3fb8170cd3c221a3813fd71ce5608aa20c7,189046.37
0x05c7439323bd07a802db0a70cee22bf3322f093c,188088.45
0xddb3fa70dc36791d10c40461c92e1825b0b9b6d0,187518.02
0xf0276d7d27a98cbed1635e7079716e9eed73f329,187249.89
0xc05798e32387b8d273269a6748376c78f7359a96,186928.52
0xcc28d814e5b4d042f633e58e5a3748eb66aee405,186303.49
0xf6edee284cf238d757dfadcebc4a882878bfc17b,186284.6
0x83ea32f923870d446580ea591ccd0a51958876d4,186086.57
0x861c9cbc89a5c1f3ad373cfa5d23c2c5e8775a9a,186058.4
0x1e9ee3975ecd9718b397205bf734cc09ffebebe4,184967.12
0x4c7cba5f21eafad2e118f875b1885e0bf445cc93,184921.86
0x9e19272791ce5f1802812e693d6864de1b26eba2,184748.81
0x7ab0b1550e3712080a87d6c6659ea00043066789,184280.33
0x4690c8bf242a7ea94d31dbf971f753af5d5a315b,184083.22
0x00cbf7f78026e5e627c959bbfe50f3f46e913a9e,183830.8
0x41aca4b1c8b6f757db12eb8a39c45fa32851f497,183468.85
0x6b5ef69550853d0b58739616ff9fa98b0887f021,182980.33
0x29963e9cce96f7c5e2bb5e2e0654ef28e3f258c1,182937.85
0x5a3e39c520d2b0cb63f0d8862cdf2ce060f8341a,182376.38
0x6255c42c3fb9f9da500ce42ff0019d78c9a91a8a,182289.04
0xf63ea0d571e2946c9d1ffb616464bb10ce93cf87,182106.88
0x0b7dfe037606e8db27ccb51e9066a00dcc0b31e9,181223.38
0x15bd532d9a95c3ebef1fee54c5281086d359407c,181069.22
0x9e4f3db9b29e2193d6d0c75270cd6a0ff1f1a6cb,180824.29
0xd6191b3aa03a427a735a9aa9248ba594eb3158ee,179416.23
0x6b56dad8100519da4273b1ae8b2537d6354397aa,179401.23
0x8e64d3aee1680bdd857c22b3cbaf64479e284f06,178474.58
0xe7ec8ad85dc0d99fc0932b444b5577b3aab69d11,178225.33
0xda68f6e949ac5d98b2ec00b2bc64ba025a6daf74,178205.67
0xbe81bcd9ac06c8e9dd5ad834fd2f55a4ce6552fe,177688.55
0x232ad5d5613518975592a1082af77cde2714bacc,177455.72
0x706998dc95eb1fa2254b9c88d743043e820fce14,177052.19
0x8b6a78c87d0d5edae1827d12287b0755d8b02666,176916.48
0x6610dae6cfba75598f5326e5adfd177b223e633b,176036.97
0x703d3b0b852da1aaba8c24ac5acef8d57ffe6538,175696.65
0xf0e1c24e7f98d8b157e791533fa66daee544d41d,175655.72
0xe52ee42e4b65ecf897bb196eac789a948281c0f9,175210.69
0x56a552c423e96ee74a3d265f3f620a9a93bafc21,174498.75
0x905b894e1a5cd562a8a2782868b7f7bf368350f9,174378.6
0x23c96bcf57f1ccbf3a154ef7ca92314842bddc24,173669.16
0xe5d15c27ed062b01cb93d83efcf79e57eb2d97df,173661.65
0xc7a7afebb5503174630374e76e4f466492134835,173621.63
0xe6a0c45f76a9cf16ad782261686efeb821a4d41e,173355.19
0x068002228d6856fa270c980b6306e55a0d4ec306,173176.12
0x2c29e2d31ce7ce3f774698ebbd724affc02f9359,172673.69
0x3bd4c2af5b08ccc9bbb80e33cb13ca2e584e4191,171920.18
0xed1495c7c04fe3f04720acb9c462cba1a63f5b47,171659.71
0xf1043b069ccf7535cd393d84c6a4cb71cecbbacc,171483.15
